防具属性,变身古代勇者模样,耐寒防护,游泳速度提升,火焰防护,电麻防护,鬼神套装,鬼神帽子、鬼神服、鬼神靴,黄昏之勇者套装,黄昏之勇者帽子、黄昏之勇者服、黄昏之勇者裤子,风之勇者套装,风之勇者帽子、风之勇者服、风之勇者裤子,时光之勇者套装,时之勇者帽子、时之勇者服、时之勇者裤子,初始之勇者套装,初始之勇者帽子、初始之勇者服、初始之勇者裤子,天空之勇者套装,天空之勇者帽子、天空之勇者服、天空之勇者裤子,织梦之勇者套装,织梦之勇者面具、织梦之勇者服、织梦之勇者裤子,旷野之勇者套装,旷野之勇者帽子、旷野之勇者服、旷野之勇者裤子,潜行套装,依盖队面罩、依盖队紧身裤、依盖队紧身服,近卫兵套装,近卫兵的帽子、近卫兵的衣服、近卫兵的靴子,蛮族套装,蛮族头盔、蛮族服、蛮族短裤,卓拉套装 / 游泳套装,卓拉头盔、卓拉铠甲、卓拉护胫,耐火套装,耐火石盔、耐火石铠、耐火石鞋,羽绒套装 ,防雪羽饰、利特的羽绒服、利特的羽绒裤子,橡胶套装 / 防雷套装,橡胶头盔、橡胶紧身服、橡胶紧身裤
套装奖励,无,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
防 御 力,12（初始）→21（一星）→ 36 （二星）→54（三星）→ 84（四星）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一星,白银波克布林的犄角x9、西诺克斯的肝脏x9、左纳尼乌姆x15。强化需要30金币。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二星,白银莫力布林的犄角x9、巨霸迦马的肝脏x9、大的左纳尼乌姆x10。强化需要150金币。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三星,白银蜥蜴战士的犄角x9、莫尔德拉吉克的肝脏x9、大的左纳尼乌姆x15。强化需要600金币,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四星,白银莱尼尔的刃角x9、白银莱尼尔的碎角x9、古栗欧克的肝脏x9 。强化需要1500金币,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
套装奖励,,无,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
防 御 力,,2（初始）→4（一星）→ 6（二星）→9（三星）→ 16（四星）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一星,,蓝宝石×1、左纳尼乌姆×5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二星,,蓝宝石×4、左纳尼乌姆×10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三星,,蓝宝石×6、大的左纳尼乌姆×5 闪耀果x5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四星,,蓝宝石×10、大的左纳尼乌姆×10 闪耀果x10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
套装奖励,,,无,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
防 御 力,,,2（初始）→4（一星）→ 6（二星）→9（三星）→ 16（四星）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一星,,, 蛋白石×1、左纳尼乌姆×5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二星,,,蛋白石×10、左纳尼乌姆×10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三星,,,蛋白石×15、大的左纳尼乌姆×5、闪耀果x5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四星,,,蛋白石×25、大的左纳尼乌姆×10、闪耀果x10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
套装奖励,,,,无,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
防 御 力,,,,2（初始）→4（一星）→ 6（二星）→9（三星）→ 16（四星）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一星,,,,红宝石×1、左纳尼乌姆×5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二星,,,,红宝石×4、左纳尼乌姆×10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三星,,,,红宝石×6、大的左纳尼乌姆×5、闪耀果x5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四星,,,,红宝石×10、大的左纳尼乌姆×10、闪耀果x10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
套装奖励,,,,,无,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
防 御 力,,,,,2（初始）→4（一星）→ 6（二星）→9（三星）→ 16（四星）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一星,,,,,黄玉×1、左纳尼乌姆×5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二星,,,,,黄玉×4、左纳尼乌姆×10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三星,,,,,黄玉×6、大的左纳尼乌姆×5、闪耀果x5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四星,,,,,黄玉×10、大的左纳尼乌姆×10、闪耀果x10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,防具属性,攻击提升,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,套装奖励,蓄力攻击精力持久,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,防 御 力,3（初始）→5（一星）→ 8（二星）→12（三星）→ 20（四星）,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,一星,西诺克斯的爪子×5、奥尔龙的鳞片×1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,二星,西诺克斯的牙齿×5、奥尔龙的爪子×1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,三星,西诺克斯的肝脏×2、奥尔龙的牙齿碎片×1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,四星,莱尼尔的肝脏×2、奥尔龙的犄角碎片×1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,一星,西诺克斯的爪子×5、聂尔龙的鳞片×1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,二星,西诺克斯的牙齿×5、聂尔龙的爪子×1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,三星,西诺克斯的肝脏×2、聂尔龙的牙齿碎片×1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,四星,莱尼尔的肝脏×2、聂尔龙的犄角碎片×1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,一星,西诺克斯的爪子×5、费罗龙的鳞片×1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,二星,西诺克斯的牙齿×5、费罗龙的爪子×1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,三星,西诺克斯的肝脏×2、费罗龙的牙齿碎片×1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,四星,莱尼尔的肝脏×2、费罗龙的犄角碎片×1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,防具属性,无,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,套装奖励,攻击力提升,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,防 御 力,3（初始）→5（一星）→ 8（二星）→12（三星）→ 20（四星）,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,一星,黄玉×1、星星碎片×1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,二星,黄玉×4、星星碎片×1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,三星,黄玉×6、星星碎片×1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,四星,黄玉×10、星星碎片×1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,防具属性,无,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,套装奖励,攻击力提升,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,防 御 力,3（初始）→5（一星）→ 8（二星）→12（三星）→ 20（四星）,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,一星,蛋白石×5、星星碎片×1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,二星,蛋白石×10、星星碎片×1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,三星,蛋白石×15、星星碎片×1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,四星,蛋白石×25、星星碎片×1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,防具属性,无,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,套装奖励,攻击力提升,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,防 御 力,3（初始）→5（一星）→ 8（二星）→12（三星）→ 20（四星）,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,一星,琥珀×10、星星碎片×1,,,,,,,,,,,,,,,,,,,,,,
