,名称,套装效果,升级等级,材料名称,需要的数量
0,古代勇者之魂,无,一星,白银波克布林的犄角,9
0,古代勇者之魂,无,一星,西诺克斯的肝脏,9
0,古代勇者之魂,无,一星,左纳尼乌姆,15
0,古代勇者之魂,无,二星,白银莫力布林的犄角,9
0,古代勇者之魂,无,二星,巨霸迦马的肝脏,9
0,古代勇者之魂,无,二星,大的左纳尼乌姆,10
0,古代勇者之魂,无,三星,白银蜥蜴战士的犄角,9
0,古代勇者之魂,无,三星,莫尔德拉吉克的肝脏,9
0,古代勇者之魂,无,三星,大的左纳尼乌姆,15
0,古代勇者之魂,无,四星,白银莱尼尔的刃角,9
0,古代勇者之魂,无,四星,白银莱尼尔的碎角,9
0,古代勇者之魂,无,四星,古栗欧克的肝脏,9 
0,神兽兵装·梅德,无,一星,蓝宝石,1
0,神兽兵装·梅德,无,一星,左纳尼乌姆,5
0,神兽兵装·梅德,无,二星,蓝宝石,4
0,神兽兵装·梅德,无,二星,左纳尼乌姆,10
0,神兽兵装·梅德,无,三星,蓝宝石,6
0,神兽兵装·梅德,无,三星,大的左纳尼乌姆×5 闪耀果,5
0,神兽兵装·梅德,无,四星,蓝宝石,10
0,神兽兵装·梅德,无,四星,大的左纳尼乌姆×10 闪耀果,10
0,神兽兵装·露塔,无,一星, 蛋白石,1
0,神兽兵装·露塔,无,一星,左纳尼乌姆,5
0,神兽兵装·露塔,无,二星,蛋白石,10
0,神兽兵装·露塔,无,二星,左纳尼乌姆,10
0,神兽兵装·露塔,无,三星,蛋白石,15
0,神兽兵装·露塔,无,三星,大的左纳尼乌姆,5
0,神兽兵装·露塔,无,三星,闪耀果,5
0,神兽兵装·露塔,无,四星,蛋白石,25
0,神兽兵装·露塔,无,四星,大的左纳尼乌姆,10
0,神兽兵装·露塔,无,四星,闪耀果,10
0,神兽兵装·鲁达尼亚,无,一星,红宝石,1
0,神兽兵装·鲁达尼亚,无,一星,左纳尼乌姆,5
0,神兽兵装·鲁达尼亚,无,二星,红宝石,4
0,神兽兵装·鲁达尼亚,无,二星,左纳尼乌姆,10
0,神兽兵装·鲁达尼亚,无,三星,红宝石,6
0,神兽兵装·鲁达尼亚,无,三星,大的左纳尼乌姆,5
0,神兽兵装·鲁达尼亚,无,三星,闪耀果,5
0,神兽兵装·鲁达尼亚,无,四星,红宝石,10
0,神兽兵装·鲁达尼亚,无,四星,大的左纳尼乌姆,10
0,神兽兵装·鲁达尼亚,无,四星,闪耀果,10
0,神兽兵装·娜波力斯,无,一星,黄玉,1
0,神兽兵装·娜波力斯,无,一星,左纳尼乌姆,5
0,神兽兵装·娜波力斯,无,二星,黄玉,4
0,神兽兵装·娜波力斯,无,二星,左纳尼乌姆,10
0,神兽兵装·娜波力斯,无,三星,黄玉,6
0,神兽兵装·娜波力斯,无,三星,大的左纳尼乌姆,5
0,神兽兵装·娜波力斯,无,三星,闪耀果,5
0,神兽兵装·娜波力斯,无,四星,黄玉,10
0,神兽兵装·娜波力斯,无,四星,大的左纳尼乌姆,10
0,神兽兵装·娜波力斯,无,四星,闪耀果,10
0,鬼神帽子,蓄力攻击精力持久,一星,西诺克斯的爪子,5
0,鬼神帽子,蓄力攻击精力持久,一星,奥尔龙的鳞片,1
0,鬼神帽子,蓄力攻击精力持久,二星,西诺克斯的牙齿,5
0,鬼神帽子,蓄力攻击精力持久,二星,奥尔龙的爪子,1
0,鬼神帽子,蓄力攻击精力持久,三星,西诺克斯的肝脏,2
0,鬼神帽子,蓄力攻击精力持久,三星,奥尔龙的牙齿碎片,1
0,鬼神帽子,蓄力攻击精力持久,四星,莱尼尔的肝脏,2
0,鬼神帽子,蓄力攻击精力持久,四星,奥尔龙的犄角碎片,1
0,鬼神服,蓄力攻击精力持久,一星,西诺克斯的爪子,5
0,鬼神服,蓄力攻击精力持久,一星,聂尔龙的鳞片,1
0,鬼神服,蓄力攻击精力持久,二星,西诺克斯的牙齿,5
0,鬼神服,蓄力攻击精力持久,二星,聂尔龙的爪子,1
0,鬼神服,蓄力攻击精力持久,三星,西诺克斯的肝脏,2
0,鬼神服,蓄力攻击精力持久,三星,聂尔龙的牙齿碎片,1
0,鬼神服,蓄力攻击精力持久,四星,莱尼尔的肝脏,2
0,鬼神服,蓄力攻击精力持久,四星,聂尔龙的犄角碎片,1
0,鬼神靴,蓄力攻击精力持久,一星,西诺克斯的爪子,5
0,鬼神靴,蓄力攻击精力持久,一星,费罗龙的鳞片,1
0,鬼神靴,蓄力攻击精力持久,二星,西诺克斯的牙齿,5
0,鬼神靴,蓄力攻击精力持久,二星,费罗龙的爪子,1
0,鬼神靴,蓄力攻击精力持久,三星,西诺克斯的肝脏,2
0,鬼神靴,蓄力攻击精力持久,三星,费罗龙的牙齿碎片,1
0,鬼神靴,蓄力攻击精力持久,四星,莱尼尔的肝脏,2
0,鬼神靴,蓄力攻击精力持久,四星,费罗龙的犄角碎片,1
0,黄昏之勇者帽子,攻击力提升,一星,黄玉,1
0,黄昏之勇者帽子,攻击力提升,一星,星星碎片,1
0,黄昏之勇者帽子,攻击力提升,二星,黄玉,4
0,黄昏之勇者帽子,攻击力提升,二星,星星碎片,1
0,黄昏之勇者帽子,攻击力提升,三星,黄玉,6
0,黄昏之勇者帽子,攻击力提升,三星,星星碎片,1
0,黄昏之勇者帽子,攻击力提升,四星,黄玉,10
0,黄昏之勇者帽子,攻击力提升,四星,星星碎片,1
0,黄昏之勇者服,攻击力提升,一星,黄玉,1
0,黄昏之勇者服,攻击力提升,一星,星星碎片,1
0,黄昏之勇者服,攻击力提升,二星,黄玉,4
0,黄昏之勇者服,攻击力提升,二星,星星碎片,1
0,黄昏之勇者服,攻击力提升,三星,黄玉,6
0,黄昏之勇者服,攻击力提升,三星,星星碎片,1
0,黄昏之勇者服,攻击力提升,四星,黄玉,10
0,黄昏之勇者服,攻击力提升,四星,星星碎片,1
0,黄昏之勇者裤子,攻击力提升,一星,黄玉,1
0,黄昏之勇者裤子,攻击力提升,一星,星星碎片,1
0,黄昏之勇者裤子,攻击力提升,二星,黄玉,4
0,黄昏之勇者裤子,攻击力提升,二星,星星碎片,1
0,黄昏之勇者裤子,攻击力提升,三星,黄玉,6
0,黄昏之勇者裤子,攻击力提升,三星,星星碎片,1
0,黄昏之勇者裤子,攻击力提升,四星,黄玉,10
0,黄昏之勇者裤子,攻击力提升,四星,星星碎片,1
0,风之勇者帽子,攻击力提升,一星,蛋白石,5
0,风之勇者帽子,攻击力提升,一星,星星碎片,1
0,风之勇者帽子,攻击力提升,二星,蛋白石,10
0,风之勇者帽子,攻击力提升,二星,星星碎片,1
0,风之勇者帽子,攻击力提升,三星,蛋白石,15
0,风之勇者帽子,攻击力提升,三星,星星碎片,1
0,风之勇者帽子,攻击力提升,四星,蛋白石,25
0,风之勇者帽子,攻击力提升,四星,星星碎片,1
0,风之勇者服,攻击力提升,一星,蛋白石,5
0,风之勇者服,攻击力提升,一星,星星碎片,1
0,风之勇者服,攻击力提升,二星,蛋白石,10
0,风之勇者服,攻击力提升,二星,星星碎片,1
0,风之勇者服,攻击力提升,三星,蛋白石,15
0,风之勇者服,攻击力提升,三星,星星碎片,1
0,风之勇者服,攻击力提升,四星,蛋白石,25
0,风之勇者服,攻击力提升,四星,星星碎片,1
0,风之勇者裤子,攻击力提升,一星,蛋白石,5
0,风之勇者裤子,攻击力提升,一星,星星碎片,1
0,风之勇者裤子,攻击力提升,二星,蛋白石,10
0,风之勇者裤子,攻击力提升,二星,星星碎片,1
0,风之勇者裤子,攻击力提升,三星,蛋白石,15
0,风之勇者裤子,攻击力提升,三星,星星碎片,1
0,风之勇者裤子,攻击力提升,四星,蛋白石,25
0,风之勇者裤子,攻击力提升,四星,星星碎片,1
0,时之勇者帽子,攻击力提升,一星,琥珀,10
0,时之勇者帽子,攻击力提升,一星,星星碎片,1
0,时之勇者帽子,攻击力提升,二星,琥珀,20
