,名称,套装效果,升级等级,材料名称,需要的数量
0,神兽兵装·梅德,无,一星,蓝宝石,1
0,神兽兵装·梅德,无,一星,左纳尼乌姆,5
0,神兽兵装·梅德,无,二星,蓝宝石,4
0,神兽兵装·梅德,无,二星,左纳尼乌姆,10
0,神兽兵装·梅德,无,三星,蓝宝石,6
0,神兽兵装·梅德,无,三星,大的左纳尼乌姆,5
0,神兽兵装·梅德,无,三星,闪耀果,5
0,神兽兵装·梅德,无,四星,蓝宝石,10
0,神兽兵装·梅德,无,四星,大的左纳尼乌姆,10
0,神兽兵装·梅德,无,四星,闪耀果,10
0,神兽兵装·露塔,无,一星,蛋白石,1
0,神兽兵装·露塔,无,一星,左纳尼乌姆,5
0,神兽兵装·露塔,无,二星,蛋白石,10
0,神兽兵装·露塔,无,二星,左纳尼乌姆,10
0,神兽兵装·露塔,无,三星,蛋白石,15
0,神兽兵装·露塔,无,三星,大的左纳尼乌姆,5
0,神兽兵装·露塔,无,三星,闪耀果,5
0,神兽兵装·露塔,无,四星,蛋白石,25
0,神兽兵装·露塔,无,四星,大的左纳尼乌姆,10
0,神兽兵装·露塔,无,四星,闪耀果,10
0,神兽兵装·鲁达尼亚,无,一星,红宝石,1
0,神兽兵装·鲁达尼亚,无,一星,左纳尼乌姆,5
0,神兽兵装·鲁达尼亚,无,二星,红宝石,4
0,神兽兵装·鲁达尼亚,无,二星,左纳尼乌姆,10
0,神兽兵装·鲁达尼亚,无,三星,红宝石,6
0,神兽兵装·鲁达尼亚,无,三星,大的左纳尼乌姆,5
0,神兽兵装·鲁达尼亚,无,三星,闪耀果,5
0,神兽兵装·鲁达尼亚,无,四星,红宝石,10
0,神兽兵装·鲁达尼亚,无,四星,大的左纳尼乌姆,10
0,神兽兵装·鲁达尼亚,无,四星,闪耀果,10
0,神兽兵装·娜波力斯,无,一星,黄玉,1
0,神兽兵装·娜波力斯,无,一星,左纳尼乌姆,5
0,神兽兵装·娜波力斯,无,二星,黄玉,4
0,神兽兵装·娜波力斯,无,二星,左纳尼乌姆,10
0,神兽兵装·娜波力斯,无,三星,黄玉,6
0,神兽兵装·娜波力斯,无,三星,大的左纳尼乌姆,5
0,神兽兵装·娜波力斯,无,三星,闪耀果,5
0,神兽兵装·娜波力斯,无,四星,黄玉,10
0,神兽兵装·娜波力斯,无,四星,大的左纳尼乌姆,10
0,神兽兵装·娜波力斯,无,四星,闪耀果,10
